!SIL	SIL
<SPOKEN_NOISE>	SPN
ㅅㅓㄱᴥㅎㅕㄴᴥ	f9 m4 e0 f18 m6 e3
ㅅㅓㄱᴥㅎㅕㄴᴥㄷㅗㅇᴥ	f9 m4 e0 f18 m6 e3 f3 m8 e20
ㅅㅓㄱᴥㅎㅕㄴᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e0 f18 m6 e3 f11 m5 f0 m5
ㅅㅓㄱᴥㅎㅗᴥ	f9 m4 e0 f18 m8
ㅅㅓㄱᴥㅎㅗᴥㄹㅗᴥ	f9 m4 e0 f18 m8 f5 m8
ㅅㅓㄱᴥㅎㅗᴥㅈㅜㅇᴥ	f9 m4 e0 f18 m8 f12 m13 e20
ㅅㅓㄱᴥㅎㅘᴥ	f9 m4 e0 f18 m9
ㅅㅓㄱᴥㅎㅘᴥㄹㅣᴥ	f9 m4 e0 f18 m9 f5 m20
ㅅㅓㄱᴥㅎㅚᴥ	f9 m4 e0 f18 m11
ㅅㅓㄴᴥㄱㅏㅁᴥㄷㅗㅇᴥ	f9 m4 e3 f0 m0 e15 f3 m8 e20
ㅅㅓㄴᴥㄱㅏㅁᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f0 m0 e15 f11 m5 f0 m5
ㅅㅓㄴᴥㄱㅓᴥㄱㅘㄴᴥㄹㅣᴥㅇㅟᴥㅇㅝㄴᴥㅎㅚᴥ	f9 m4 e3 f0 m4 f0 m9 e3 f5 m20 f11 m16 f11 m14 e3 f18 m11
ㅅㅓㄴᴥㄱㅕㅇᴥ	f9 m4 e3 f0 m6 e20
ㅅㅓㄴᴥㄱㅕㅇᴥㅇㅏᴥㅍㅏᴥㅌㅡᴥ	f9 m4 e3 f0 m6 e20 f11 m0 f17 m0 f16 m18
ㅅㅓㄴᴥㄱㅕㅇᴥㅇㅗᴥㅍㅣᴥㅅㅡᴥㅌㅔㄹᴥ	f9 m4 e3 f0 m6 e20 f11 m8 f17 m20 f9 m18 f16 m5 e7
ㅅㅓㄴᴥㄱㅗㄱᴥ	f9 m4 e3 f0 m8 e0
ㅅㅓㄴᴥㄱㅗㄱᴥㅊㅗᴥㄷㅡㅇᴥㅎㅏㄱᴥㄱㅛᴥ	f9 m4 e3 f0 m8 e0 f14 m8 f3 m18 e20 f18 m0 e0 f0 m12
ㅅㅓㄴᴥㄱㅘㄴᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f0 m9 e3 f11 m5 f0 m5
ㅅㅓㄴᴥㄱㅘㅇᴥㅈㅣㅂᴥ	f9 m4 e3 f0 m9 e20 f12 m20 e16
ㅅㅓㄴᴥㄱㅛᴥ	f9 m4 e3 f0 m12
ㅅㅓㄴᴥㄱㅛᴥㄷㅏㄴᴥ	f9 m4 e3 f0 m12 f3 m0 e3
ㅅㅓㄴᴥㄱㅜᴥ	f9 m4 e3 f0 m13
ㅅㅓㄴᴥㄱㅡㅁᴥㅈㅜᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f0 m18 e15 f12 m13 f11 m5 f0 m5
ㅅㅓㄴᴥㄱㅡㅂᴥ	f9 m4 e3 f0 m18 e16
ㅅㅓㄴᴥㄴㅏㅁᴥㄴㅗㅇᴥㅎㅕㅂᴥ	f9 m4 e3 f2 m0 e15 f2 m8 e20 f18 m6 e16
ㅅㅓㄴᴥㄴㅏㅁᴥㅁㅕㄴᴥ	f9 m4 e3 f2 m0 e15 f6 m6 e3
ㅅㅓㄴᴥㄴㅓᴥㅁㅓᴥㄹㅗᴥ	f9 m4 e3 f2 m4 f6 m4 f5 m8
ㅅㅓㄴᴥㄴㅕᴥㄴㅔᴥ	f9 m4 e3 f2 m6 f2 m5
ㅅㅓㄴᴥㄴㅕᴥㅌㅏㅇᴥ	f9 m4 e3 f2 m6 f16 m0 e20
ㅅㅓㄴᴥㄴㅕᴥㅍㅜㅇᴥ	f9 m4 e3 f2 m6 f17 m13 e20
ㅅㅓㄴᴥㄴㅗᴥㄹㅗᴥ	f9 m4 e3 f2 m8 f5 m8
ㅅㅓㄴᴥㄷㅏᴥㅇㅣㄴᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f3 m0 f11 m20 e3 f11 m5 f0 m5
ㅅㅓㄴᴥㄷㅏㄴᴥic	f9 m4 e3 f3 m0 e3 i c
ㅅㅓㄴᴥㄷㅏㄴᴥㄷㅗㅇᴥ	f9 m4 e3 f3 m0 e3 f3 m8 e20
ㅅㅓㄴᴥㄷㅏㄴᴥㄷㅗㅇᴥㅅㅏᴥㅁㅜᴥㅅㅗᴥ	f9 m4 e3 f3 m0 e3 f3 m8 e20 f9 m0 f6 m13 f9 m8
ㅅㅓㄴᴥㄷㅏㅇᴥㄹㅣᴥ	f9 m4 e3 f3 m0 e20 f5 m20
ㅅㅓㄴᴥㄷㅓㄱᴥㄱㅗᴥㄷㅡㅇᴥㅎㅏㄱᴥㄱㅛᴥ	f9 m4 e3 f3 m4 e0 f0 m8 f3 m18 e20 f18 m0 e0 f0 m12
ㅅㅓㄴᴥㄷㅗᴥ	f9 m4 e3 f3 m8
ㅅㅓㄴᴥㄷㅗᴥㅈㅓㄴᴥㄱㅣᴥ	f9 m4 e3 f3 m8 f12 m4 e3 f0 m20
ㅅㅓㄴᴥㄷㅗᴥㅈㅜㅇᴥㅎㅏㄱᴥㄱㅛᴥ	f9 m4 e3 f3 m8 f12 m13 e20 f18 m0 e0 f0 m12
ㅅㅓㄴᴥㄷㅗㄹᴥㄱㅣㄹᴥ	f9 m4 e3 f3 m8 e7 f0 m20 e7
ㅅㅓㄴᴥㄷㅗㅇᴥㄱㅣㄹᴥ	f9 m4 e3 f3 m8 e20 f0 m20 e7
ㅅㅓㄴᴥㄷㅗㅇᴥㄹㅣᴥㅊㅗᴥㄷㅡㅇᴥㅎㅏㄱᴥㄱㅛᴥ	f9 m4 e3 f3 m8 e20 f5 m20 f14 m8 f3 m18 e20 f18 m0 e0 f0 m12
ㅅㅓㄴᴥㄷㅗㅇᴥㅅㅓㅇᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f3 m8 e20 f9 m4 e20 f11 m5 f0 m5
ㅅㅓㄴᴥㄹㅜᴥㅍㅡᴥ	f9 m4 e3 f5 m13 f17 m18
ㅅㅓㄴᴥㄹㅡㅇᴥ	f9 m4 e3 f5 m18 e20
ㅅㅓㄴᴥㄹㅡㅇᴥㄹㅗᴥ	f9 m4 e3 f5 m18 e20 f5 m8
ㅅㅓㄴᴥㄹㅡㅇᴥㄹㅗᴥ119ㄱㅣㄹᴥ	f9 m4 e3 f5 m18 e20 f5 m8 n1 n1 n9 f0 m20 e7
ㅅㅓㄴᴥㄹㅡㅇᴥㅇㅕㄱᴥ	f9 m4 e3 f5 m18 e20 f11 m6 e0
ㅅㅓㄴᴥㄹㅡㅇᴥㅈㅓㅁᴥ	f9 m4 e3 f5 m18 e20 f12 m4 e15
ㅅㅓㄴᴥㄹㅣᴥㅊㅣᴥ	f9 m4 e3 f5 m20 f14 m20
ㅅㅓㄴᴥㅁㅜㄴᴥㄷㅐᴥ	f9 m4 e3 f6 m13 e3 f3 m1
ㅅㅓㄴᴥㅁㅜㄴᴥㄷㅐᴥㅎㅏㄱᴥㄱㅛᴥ	f9 m4 e3 f6 m13 e3 f3 m1 f18 m0 e0 f0 m12
ㅅㅓㄴᴥㅁㅜㄴᴥㄹㅗᴥ	f9 m4 e3 f6 m13 e3 f5 m8
ㅅㅓㄴᴥㅁㅜㄹᴥ	f9 m4 e3 f6 m13 e7
ㅅㅓㄴᴥㅁㅜㄹᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f6 m13 e7 f11 m5 f0 m5
ㅅㅓㄴᴥㅁㅜㄹᴥㅇㅢᴥ	f9 m4 e3 f6 m13 e7 f11 m19
ㅅㅓㄴᴥㅁㅣᴥ	f9 m4 e3 f6 m20
ㅅㅓㄴᴥㅁㅣᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f6 m20 f11 m5 f0 m5
ㅅㅓㄴᴥㅁㅣᴥㅎㅏㄴᴥㅌㅔᴥ	f9 m4 e3 f6 m20 f18 m0 e3 f16 m5
ㅅㅓㄴᴥㅁㅣㄴᴥㅇㅣᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f6 m20 e3 f11 m20 f11 m5 f0 m5
ㅅㅓㄴᴥㅁㅣㄴᴥㅍㅏᴥ	f9 m4 e3 f6 m20 e3 f17 m0
ㅅㅓㄴᴥㅂㅏᴥㅇㅜᴥㄱㅣㄹᴥ	f9 m4 e3 f7 m0 f11 m13 f0 m20 e7
ㅅㅓㄴᴥㅂㅏᴥㅇㅟᴥ	f9 m4 e3 f7 m0 f11 m16
ㅅㅓㄴᴥㅂㅏᴥㅇㅟᴥㅇㅕㄱᴥ	f9 m4 e3 f7 m0 f11 m16 f11 m6 e0
ㅅㅓㄴᴥㅂㅏㄱᴥ	f9 m4 e3 f7 m0 e0
ㅅㅓㄴᴥㅂㅏㄴᴥㄴㅏㅁᴥ2ㄱㅣㄹᴥ	f9 m4 e3 f7 m0 e3 f2 m0 e15 n2 f0 m20 e7
ㅅㅓㄴᴥㅂㅏㄴᴥㄹㅗᴥ	f9 m4 e3 f7 m0 e3 f5 m8
ㅅㅓㄴᴥㅂㅏㄴᴥㄹㅗᴥ4ㄱㅣㄹᴥ	f9 m4 e3 f7 m0 e3 f5 m8 n4 f0 m20 e7
ㅅㅓㄴᴥㅂㅏㄹᴥ	f9 m4 e3 f7 m0 e7
ㅅㅓㄴᴥㅂㅏㄹᴥㅇㅡㄴᴥ	f9 m4 e3 f7 m0 e7 f11 m18 e3
ㅅㅓㄴᴥㅂㅐᴥ	f9 m4 e3 f7 m1
ㅅㅓㄴᴥㅂㅐᴥㄴㅣㅁᴥ	f9 m4 e3 f7 m1 f2 m20 e15
ㅅㅓㄴᴥㅂㅐᴥㄴㅣㅁᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f7 m1 f2 m20 e15 f11 m5 f0 m5
ㅅㅓㄴᴥㅂㅐᴥㅅㅏㄴᴥㄱㅣㄹᴥ	f9 m4 e3 f7 m1 f9 m0 e3 f0 m20 e7
ㅅㅓㄴᴥㅂㅐᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f7 m1 f11 m5 f0 m5
ㅅㅓㄴᴥㅂㅐㄱᴥㅎㅕㅇᴥ	f9 m4 e3 f7 m1 e0 f18 m6 e20
ㅅㅓㄴᴥㅂㅐㄹᴥㄹㅣᴥ	f9 m4 e3 f7 m1 e7 f5 m20
ㅅㅓㄴᴥㅂㅕㅇᴥㅇㅝㄴᴥ	f9 m4 e3 f7 m6 e20 f11 m14 e3
ㅅㅓㄴᴥㅂㅗᴥㅅㅏㄹᴥㄴㅣㅁᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f7 m8 f9 m0 e7 f2 m20 e15 f11 m5 f0 m5
ㅅㅓㄴᴥㅂㅗᴥㅅㅏㄹᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f7 m8 f9 m0 e7 f11 m5 f0 m5
ㅅㅓㄴᴥㅂㅗㅇᴥ	f9 m4 e3 f7 m8 e20
ㅅㅓㄴᴥㅂㅜᴥ	f9 m4 e3 f7 m13
ㅅㅓㄴᴥㅂㅜᴥㄱㅗᴥ	f9 m4 e3 f7 m13 f0 m8
ㅅㅓㄴᴥㅂㅜᴥㄱㅘㅇᴥㅈㅏㅇᴥㅂㅜㄱᴥㄹㅗᴥ	f9 m4 e3 f7 m13 f0 m9 e20 f12 m0 e20 f7 m13 e0 f5 m8
ㅅㅓㄴᴥㅂㅜᴥㄷㅗㅇᴥ	f9 m4 e3 f7 m13 f3 m8 e20
ㅅㅓㄴᴥㅂㅜᴥㄷㅗㅇᴥㅈㅣᴥㅈㅓㅁᴥ	f9 m4 e3 f7 m13 f3 m8 e20 f12 m20 f12 m4 e15
ㅅㅓㄴᴥㅂㅜᴥㅅㅓᴥㅂㅣᴥㅅㅡᴥㅅㅔㄴᴥㅌㅏᴥ	f9 m4 e3 f7 m13 f9 m4 f7 m20 f9 m18 f9 m5 e3 f16 m0
ㅅㅓㄴᴥㅂㅜᴥㅇㅕㄱᴥ	f9 m4 e3 f7 m13 f11 m6 e0
ㅅㅓㄴᴥㅂㅜᴥㅈㅜㅇᴥㅎㅏㄱᴥㄱㅛᴥ	f9 m4 e3 f7 m13 f12 m13 e20 f18 m0 e0 f0 m12
ㅅㅓㄴᴥㅂㅜㄹᴥㄱㅛᴥ	f9 m4 e3 f7 m13 e7 f0 m12
ㅅㅓㄴᴥㅂㅣᴥ	f9 m4 e3 f7 m20
ㅅㅓㄴᴥㅂㅣᴥㄱㅗᴥㅇㅡㄹᴥ	f9 m4 e3 f7 m20 f0 m8 f11 m18 e7
ㅅㅓㄴᴥㅂㅣᴥㄱㅣㄹᴥ	f9 m4 e3 f7 m20 f0 m20 e7
ㅅㅓㄴᴥㅂㅣᴥㄹㅗᴥ	f9 m4 e3 f7 m20 f5 m8
ㅅㅓㄴᴥㅂㅣᴥㅁㅏᴥㅇㅡㄹᴥ	f9 m4 e3 f7 m20 f6 m0 f11 m18 e7
ㅅㅓㄴᴥㅂㅣᴥㅊㅗㄴᴥ	f9 m4 e3 f7 m20 f14 m8 e3
ㅅㅓㄴᴥㅅㅏᴥ	f9 m4 e3 f9 m0
ㅅㅓㄴᴥㅅㅏᴥㄱㅗᴥㄷㅡㅇᴥㅎㅏㄱᴥㄱㅛᴥ	f9 m4 e3 f9 m0 f0 m8 f3 m18 e20 f18 m0 e0 f0 m12
ㅅㅓㄴᴥㅅㅏᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f9 m0 f11 m5 f0 m5
ㅅㅓㄴᴥㅅㅏㄴᴥ	f9 m4 e3 f9 m0 e3
ㅅㅓㄴᴥㅅㅏㄴᴥㄱㅗㅂᴥㅊㅏㅇᴥ	f9 m4 e3 f9 m0 e3 f0 m8 e16 f14 m0 e20
ㅅㅓㄴᴥㅅㅏㄴᴥㅇㅡㅂᴥ	f9 m4 e3 f9 m0 e3 f11 m18 e16
ㅅㅓㄴᴥㅅㅏㄴᴥㅎㅑㅇᴥㄱㅛᴥㄱㅣㄹᴥ	f9 m4 e3 f9 m0 e3 f18 m2 e20 f0 m12 f0 m20 e7
ㅅㅓㄴᴥㅅㅏㅇᴥㅈㅜᴥㅊㅏᴥㅈㅏㅇᴥ	f9 m4 e3 f9 m0 e20 f12 m13 f14 m0 f12 m0 e20
ㅅㅓㄴᴥㅅㅐㅇᴥ	f9 m4 e3 f9 m1 e20
ㅅㅓㄴᴥㅅㅐㅇᴥㄴㅣㅁᴥ	f9 m4 e3 f9 m1 e20 f2 m20 e15
ㅅㅓㄴᴥㅅㅐㅇᴥㄴㅣㅁᴥㄲㅔᴥ	f9 m4 e3 f9 m1 e20 f2 m20 e15 f1 m5
ㅅㅓㄴᴥㅅㅐㅇᴥㄴㅣㅁᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f9 m1 e20 f2 m20 e15 f11 m5 f0 m5
ㅅㅓㄴᴥㅅㅐㅇᴥㄴㅣㅁᴥㅎㅏㄴᴥㅌㅔᴥ	f9 m4 e3 f9 m1 e20 f2 m20 e15 f18 m0 e3 f16 m5
ㅅㅓㄴᴥㅅㅐㅇᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f9 m1 e20 f11 m5 f0 m5
ㅅㅓㄴᴥㅅㅐㅇᴥㅎㅏㄴᴥㅌㅔᴥ	f9 m4 e3 f9 m1 e20 f18 m0 e3 f16 m5
ㅅㅓㄴᴥㅅㅑᴥㅇㅣㄴᴥ	f9 m4 e3 f9 m2 f11 m20 e3
ㅅㅓㄴᴥㅅㅑᴥㅇㅣㄴᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f9 m2 f11 m20 e3 f11 m5 f0 m5
ㅅㅓㄴᴥㅅㅓㄴᴥㅈㅏᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f9 m4 e3 f12 m0 f11 m5 f0 m5
ㅅㅓㄴᴥㅅㅔㅅᴥ	f9 m4 e3 f9 m5 e18
ㅅㅓㄴᴥㅅㅗᴥㅈㅓㅇᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f9 m8 f12 m4 e20 f11 m5 f0 m5
ㅅㅓㄴᴥㅅㅜᴥ	f9 m4 e3 f9 m13
ㅅㅓㄴᴥㅅㅜᴥㄹㅗᴥ	f9 m4 e3 f9 m13 f5 m8
ㅅㅓㄴᴥㅅㅜᴥㅊㅗㄴᴥ	f9 m4 e3 f9 m13 f14 m8 e3
ㅅㅓㄴᴥㅅㅜᴥㅊㅗㄴᴥㄱㅗㅇᴥㅇㅝㄴᴥㄹㅗᴥ	f9 m4 e3 f9 m13 f14 m8 e3 f0 m8 e20 f11 m14 e3 f5 m8
ㅅㅓㄴᴥㅅㅣㄱᴥㄷㅏㅇᴥ	f9 m4 e3 f9 m20 e0 f3 m0 e20
ㅅㅓㄴᴥㅇㅏᴥ	f9 m4 e3 f11 m0
ㅅㅓㄴᴥㅇㅏㅁᴥ	f9 m4 e3 f11 m0 e15
ㅅㅓㄴᴥㅇㅏㅁᴥㄷㅗㅇᴥ	f9 m4 e3 f11 m0 e15 f3 m8 e20
ㅅㅓㄴᴥㅇㅏㅁᴥㄹㅗᴥ1ㄱㅣㄹᴥ	f9 m4 e3 f11 m0 e15 f5 m8 n1 f0 m20 e7
ㅅㅓㄴᴥㅇㅏㅁᴥㄹㅣᴥ	f9 m4 e3 f11 m0 e15 f5 m20
ㅅㅓㄴᴥㅇㅏㅁᴥㅁㅏᴥㅇㅡㄹᴥ	f9 m4 e3 f11 m0 e15 f6 m0 f11 m18 e7
ㅅㅓㄴᴥㅇㅏㅁᴥㅁㅗㄱᴥㅈㅏᴥㄱㅛᴥㅎㅚᴥ	f9 m4 e3 f11 m0 e15 f6 m8 e0 f12 m0 f0 m12 f18 m11
ㅅㅓㄴᴥㅇㅏㅁᴥㅅㅏᴥ	f9 m4 e3 f11 m0 e15 f9 m0
ㅅㅓㄴᴥㅇㅏㅁᴥㅎㅗᴥㅅㅜᴥㄱㅗㅇᴥㅇㅝㄴᴥ	f9 m4 e3 f11 m0 e15 f18 m8 f9 m13 f0 m8 e20 f11 m14 e3
ㅅㅓㄴᴥㅇㅐᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f11 m1 f11 m5 f0 m5
ㅅㅓㄴᴥㅇㅑㅇᴥㅅㅓㄴᴥ	f9 m4 e3 f11 m2 e20 f9 m4 e3
ㅅㅓㄴᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f11 m5 f0 m5
ㅅㅓㄴᴥㅇㅕㄴᴥㅅㅏᴥ	f9 m4 e3 f11 m6 e3 f9 m0
ㅅㅓㄴᴥㅇㅕㅇᴥ	f9 m4 e3 f11 m6 e20
ㅅㅓㄴᴥㅇㅕㅇᴥ10ㄱㅣㄹᴥ	f9 m4 e3 f11 m6 e20 n1 n0 f0 m20 e7
ㅅㅓㄴᴥㅇㅕㅇᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f11 m6 e20 f11 m5 f0 m5
ㅅㅓㄴᴥㅇㅕㅇᴥㅇㅣᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f11 m6 e20 f11 m20 f11 m5 f0 m5
ㅅㅓㄴᴥㅇㅜᴥ	f9 m4 e3 f11 m13
ㅅㅓㄴᴥㅇㅜᴥㄱㅓㄴᴥㅅㅓㄹᴥ	f9 m4 e3 f11 m13 f0 m4 e3 f9 m4 e7
ㅅㅓㄴᴥㅇㅜᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f11 m13 f11 m5 f0 m5
ㅅㅓㄴᴥㅇㅜᴥㅇㅕㅇᴥㅁㅣᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f11 m13 f11 m6 e20 f6 m20 f11 m5 f0 m5
ㅅㅓㄴᴥㅇㅜᴥㅈㅣㄴᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f11 m13 f12 m20 e3 f11 m5 f0 m5
ㅅㅓㄴᴥㅇㅜㄴᴥ	f9 m4 e3 f11 m13 e3
ㅅㅓㄴᴥㅇㅜㄴᴥㅅㅏᴥ	f9 m4 e3 f11 m13 e3 f9 m0
ㅅㅓㄴᴥㅇㅜㄴᴥㅅㅏㄴᴥ	f9 m4 e3 f11 m13 e3 f9 m0 e3
ㅅㅓㄴᴥㅇㅜㄴᴥㅈㅣᴥㄱㅜᴥ	f9 m4 e3 f11 m13 e3 f12 m20 f0 m13
ㅅㅓㄴᴥㅇㅜㄴᴥㅈㅣᴥㅈㅓㅁᴥ	f9 m4 e3 f11 m13 e3 f12 m20 f12 m4 e15
ㅅㅓㄴᴥㅇㅜㅇᴥㅇㅣᴥ	f9 m4 e3 f11 m13 e20 f11 m20
ㅅㅓㄴᴥㅇㅝㄴᴥ	f9 m4 e3 f11 m14 e3
ㅅㅓㄴᴥㅇㅝㄴᴥㄹㅗᴥ	f9 m4 e3 f11 m14 e3 f5 m8
ㅅㅓㄴᴥㅇㅝㄴᴥㄹㅗᴥ23ㄱㅣㄹᴥ	f9 m4 e3 f11 m14 e3 f5 m8 n2 n3 f0 m20 e7
ㅅㅓㄴᴥㅇㅝㄴᴥㅁㅕㄴᴥ	f9 m4 e3 f11 m14 e3 f6 m6 e3
ㅅㅓㄴᴥㅇㅠᴥ	f9 m4 e3 f11 m17
ㅅㅓㄴᴥㅇㅠᴥㄷㅗᴥ	f9 m4 e3 f11 m17 f3 m8
ㅅㅓㄴᴥㅇㅠᴥㄷㅗᴥㄱㅗㅇᴥㅇㅝㄴᴥ	f9 m4 e3 f11 m17 f3 m8 f0 m8 e20 f11 m14 e3
ㅅㅓㄴᴥㅇㅠᴥㄷㅗᴥㅇㅔᴥ	f9 m4 e3 f11 m17 f3 m8 f11 m5
ㅅㅓㄴᴥㅇㅠᴥㄷㅗᴥㅎㅐᴥㅅㅜᴥㅇㅛㄱᴥㅈㅏㅇᴥ	f9 m4 e3 f11 m17 f3 m8 f18 m1 f9 m13 f11 m12 e0 f12 m0 e20
ㅅㅓㄴᴥㅇㅠᴥㄷㅗㅇᴥ	f9 m4 e3 f11 m17 f3 m8 e20
ㅅㅓㄴᴥㅇㅠᴥㄹㅗᴥ	f9 m4 e3 f11 m17 f5 m8
ㅅㅓㄴᴥㅇㅠᴥㄹㅗᴥ11ㄱㅣㄹᴥ	f9 m4 e3 f11 m17 f5 m8 n1 n1 f0 m20 e7
ㅅㅓㄴᴥㅇㅠᴥㄹㅗᴥ13ㄱㅣㄹᴥ	f9 m4 e3 f11 m17 f5 m8 n1 n3 f0 m20 e7
ㅅㅓㄴᴥㅇㅠᴥㅇㅝㄴᴥ	f9 m4 e3 f11 m17 f11 m14 e3
ㅅㅓㄴᴥㅇㅢᴥㅇㅝㄴᴥ	f9 m4 e3 f11 m19 f11 m14 e3
ㅅㅓㄴᴥㅇㅣᴥ	f9 m4 e3 f11 m20
ㅅㅓㄴᴥㅇㅣㄹᴥ	f9 m4 e3 f11 m20 e7
ㅅㅓㄴᴥㅇㅣㄹᴥㄱㅡㅁᴥㄱㅗᴥ	f9 m4 e3 f11 m20 e7 f0 m18 e15 f0 m8
ㅅㅓㄴᴥㅇㅣㄹᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f11 m20 e7 f11 m5 f0 m5
ㅅㅓㄴᴥㅇㅣㄹᴥㅇㅣᴥ	f9 m4 e3 f11 m20 e7 f11 m20
ㅅㅓㄴᴥㅇㅣㄹᴥㅈㅜㅇᴥㅎㅏㄱᴥㄱㅛᴥ	f9 m4 e3 f11 m20 e7 f12 m13 e20 f18 m0 e0 f0 m12
ㅅㅓㄴᴥㅇㅣㅁᴥ	f9 m4 e3 f11 m20 e15
ㅅㅓㄴᴥㅇㅣㅁᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f11 m20 e15 f11 m5 f0 m5
ㅅㅓㄴᴥㅈㅏㄱᴥㄱㅏᴥ	f9 m4 e3 f12 m0 e0 f0 m0
ㅅㅓㄴᴥㅈㅏㅇᴥ	f9 m4 e3 f12 m0 e20
ㅅㅓㄴᴥㅈㅏㅇᴥㅁㅕㄴᴥ	f9 m4 e3 f12 m0 e20 f6 m6 e3
ㅅㅓㄴᴥㅈㅐᴥ	f9 m4 e3 f12 m1
ㅅㅓㄴᴥㅈㅐᴥㄱㅣㄹᴥ	f9 m4 e3 f12 m1 f0 m20 e7
ㅅㅓㄴᴥㅈㅐᴥㄹㅗᴥ	f9 m4 e3 f12 m1 f5 m8
ㅅㅓㄴᴥㅈㅐᴥㅅㅓㄱᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f12 m1 f9 m4 e0 f11 m5 f0 m5
ㅅㅓㄴᴥㅈㅐᴥㅎㅗᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f12 m1 f18 m8 f11 m5 f0 m5
ㅅㅓㄴᴥㅈㅓㅇᴥ	f9 m4 e3 f12 m4 e20
ㅅㅓㄴᴥㅈㅓㅇᴥㄱㅗᴥㄱㅛᴥ	f9 m4 e3 f12 m4 e20 f0 m8 f0 m12
ㅅㅓㄴᴥㅈㅓㅇᴥㄱㅗᴥㄷㅡㅇᴥㅎㅏㄱᴥㄱㅛᴥ	f9 m4 e3 f12 m4 e20 f0 m8 f3 m18 e20 f18 m0 e0 f0 m12
ㅅㅓㄴᴥㅈㅓㅇᴥㄹㅡㅇᴥ	f9 m4 e3 f12 m4 e20 f5 m18 e20
ㅅㅓㄴᴥㅈㅓㅇᴥㄹㅡㅇᴥㅇㅕㄱᴥ	f9 m4 e3 f12 m4 e20 f5 m18 e20 f11 m6 e0
ㅅㅓㄴᴥㅈㅓㅇᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f12 m4 e20 f11 m5 f0 m5
ㅅㅓㄴᴥㅈㅗㅇᴥ	f9 m4 e3 f12 m8 e20
ㅅㅓㄴᴥㅈㅜᴥ	f9 m4 e3 f12 m13
ㅅㅓㄴᴥㅈㅜㅇᴥㅇㅣᴥㅎㅕㅇᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f12 m13 e20 f11 m20 f18 m6 e20 f11 m5 f0 m5
ㅅㅓㄴᴥㅈㅣᴥ	f9 m4 e3 f12 m20
ㅅㅓㄴᴥㅈㅣᴥㄹㅣᴥ	f9 m4 e3 f12 m20 f5 m20
ㅅㅓㄴᴥㅈㅣᴥㅎㅐᴥㅈㅏㅇᴥㄱㅜㄱᴥ	f9 m4 e3 f12 m20 f18 m1 f12 m0 e20 f0 m13 e0
ㅅㅓㄴᴥㅈㅣᴥㅎㅐᴥㅈㅏㅇᴥㄱㅜㄱᴥㅈㅣㅂᴥ	f9 m4 e3 f12 m20 f18 m1 f12 m0 e20 f0 m13 e0 f12 m20 e16
ㅅㅓㄴᴥㅈㅣㄴᴥ	f9 m4 e3 f12 m20 e3
ㅅㅓㄴᴥㅈㅣㄴᴥㅅㅏᴥㄹㅛᴥ	f9 m4 e3 f12 m20 e3 f9 m0 f5 m12
ㅅㅓㄴᴥㅈㅣㄴᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f12 m20 e3 f11 m5 f0 m5
ㅅㅓㄴᴥㅈㅣㄴᴥㅋㅏᴥㅅㅔㄴᴥㅌㅏᴥ	f9 m4 e3 f12 m20 e3 f15 m0 f9 m5 e3 f16 m0
ㅅㅓㄴᴥㅉㅏㅇᴥㅇㅔᴥㄱㅔᴥ	f9 m4 e3 f13 m0 e20 f11 m5 f0 m5
